workbook_file,sheet_name,header_row,headers_json,notes
各ブランドサイト管理＿メイン (4).xlsx,TPのみ,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""タイトルLEN"", ""メタLEN"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン (4).xlsx,SPのみ,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""タイトルLEN"", ""メタLEN"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン (4).xlsx,natsui-sansu-juku.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""タイトルLEN"", ""メタLEN"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン (4).xlsx,dokkai-labo.tokyo,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン (4).xlsx,juku-escot.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン (4).xlsx,jukureiwa.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン (4).xlsx,koten-kakitsubata.jp,1,"[""URL"", ""分類"", ""タイトルLEN"", ""メタLEN"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON""]",
各ブランドサイト管理＿メイン (4).xlsx,eigo-rewrite.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン (4).xlsx,eng-support.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
各ブランドサイト管理＿メイン (4).xlsx,rika-quest.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
